"","y","t","sa","w","s","i"
"1",487.626728855294,756.972681145864,743.332125487527,0.95721218447707,0.685324696278851,0.981980121610612
"2",522.64858772913,756.251849172023,950.674518187392,0.796337288104579,0.690368355115168,1.25708719817113
"3",418,756.089773514765,569.319867062785,0.985084826221648,0.745326071381698,0.752979192426105
"4",599,755.996235600667,769.434861972516,1.044867081241,0.745064576782363,1.01777604932275
"5",686,755.875065599856,825.67869943541,1.01320861328662,0.820000583967473,1.09234811017368
"6",710,755.940075327444,789.883623591449,1.05958652399385,0.848318254918052,1.04490243257616
"7",656,755.763739266964,679.015180754326,1.14298247298709,0.845249231698918,0.898449006580974
"8",601,755.566177764799,706.289467452481,0.959423409439583,0.88691383862687,0.934781741477505
"9",520,755.425160062389,739.076629876297,0.796770741842557,0.883040242165956,0.97835850452116
"10",688,755.331938854897,755.874023982436,0.983065001682971,0.925884433261375,1.00071767801632
"11",734,755.450119150687,739.128662555279,1.04459443656597,0.950666756254298,0.978395057222631
"12",707,755.329194967716,764.527827459397,1.01410621724561,0.911890457253174,1.01217830921003
"13",900,755.248417723657,822.885326872044,1.05434258062515,1.03734076466702,1.08955584356237
"14",949,754.985572486217,798.005789151612,1.14670150528774,1.0370740989821,1.05698150830052
"15",662,754.911971437052,757.738627855691,0.962865835278966,0.907345699248831,1.00374435235576
"16",610,754.870321645318,773.71994775976,0.797732872710364,0.988299447343777,1.02497068115402
"17",807,754.793134534283,813.962525270403,0.979707813174544,1.01198145203983,1.07839153276431
"18",893,754.702753632679,821.241143072949,1.04365334685645,1.04189628595545,1.0881650280458
"19",870,754.786689809005,925.947677852727,1.0149116014584,0.925773166854263,1.22676736401782
"20",773,754.752644442764,765.872390971261,1.05006534321661,0.961184491545555,1.01473296796026
"21",803,754.820885271477,723.646759968474,1.14990208828828,0.965001660506699,0.958699969871938
"22",781,754.417119090733,805.312928389016,0.96671452712699,1.00320137260239,1.06746375182953
"23",712,754.362441368362,934.363905484128,0.799595039009673,0.953002081998437,1.23861403251898
"24",752,754.302654198371,774.879067306955,0.974602465802046,0.995763964881792,1.02727872292913
"25",772,753.936274831627,742.853753631443,1.04225390533633,0.997103973741861,0.985300453672083
"26",753,753.747370639098,738.88430764129,1.01647062427812,1.00259076716368,0.980281107998817
"27",762,753.687460446985,717.813467929925,1.04757365207978,1.01334843719929,0.952402030815552
"28",875,753.494255821592,727.638222633487,1.15175195700518,1.04407955077889,0.965685162178293
"29",753,753.473608957489,745.102894108344,0.969768120083674,1.04210342389383,0.988890500278135
"30",611,753.307862505693,760.019816020283,0.800434720332961,1.00436223798727,1.00890997406062
"31",778,753.18703773258,785.951954639803,0.972125916516246,1.0182656115767,1.04350170046189
"32",824,753.009128872206,796.780433129964,1.04072014515528,0.993698398865648,1.05812851741029
"33",724,752.809878273161,719.547502422865,1.01938033943002,0.987058386751023,0.955815702197485
"34",767,752.592911745701,709.571004181924,1.04238083480331,1.03698646013139,0.942835088010617
"35",730,752.455285509678,590.142703212825,1.15210064223333,1.07368132601846,0.78428939842331
"36",621,752.218753699001,628.94197451556,0.973767961831062,1.01397101078287,0.836115786030018
"37",513,752.056464323254,617.550856148364,0.804141876158665,1.03302767885625,0.821149588420962
"38",727,751.886397541434,748.305676408261,0.96858831865163,1.00303513056649,0.995237683319073
"39",769,751.764605469021,749.410012500804,1.0383175057325,0.988272412945072,0.996867911908744
"40",698,751.589966471125,735.70445323376,1.02173819317529,0.92856521369785,0.978864122798298
"41",731,751.41559672155,763.712978043309,1.03910878450964,0.921141162618952,1.01636561894032
"42",946,751.25744773187,842.091729240168,1.15021541259306,0.976680578561851,1.12090965857648
"43",703,751.110930710914,739.146761684146,0.977093502900438,0.973393677412699,0.984071368771794
"44",571,750.990273727146,773.460403986433,0.81026325630941,0.911112232742642,1.02992066747785
"45",568,750.873689649578,730.206453141267,0.966768707923873,0.80460010365847,0.972475748194138
"46",830,750.721526094779,960.08182976786,1.03214958287995,0.837581739546338,1.27887878047425
"47",604,750.613573003459,691.016305992936,1.0249132079134,0.852828201319796,0.920601932666826
"48",729,750.456679834204,785.694696902751,1.03551161705409,0.896022119644363,1.04695543129329
"49",893,750.302190650698,807.394358189541,1.14979966171862,0.961930227158039,1.0760922309041
"50",656,750.13232845587,733.08941161291,0.97918897206653,0.913861494825092,0.977280119524987
"51",519,749.993422425495,711.575566750043,0.817434791718497,0.892263673926746,0.94877574319091
"52",656,749.862262202152,741.605987315547,0.964803000214711,0.916836652173159,0.988989611422292
"53",685,749.705853275502,722.956058980641,1.0274579410198,0.922177701366536,0.964319613915259
"54",727,749.576585440098,723.504262194404,1.02373589956148,0.981534081117572,0.965217265650866
"55",675,749.451245063929,743.83951432006,1.0328721440836,0.878573222690341,0.992512213728605
"56",814,749.327526584203,799.750700530257,1.15240759832369,0.883209359330463,1.06729123401606
"57",722,749.20318965563,866.201488961242,0.980928923576048,0.849729569396259,1.1561636428155
"58",515,749.079032758784,724.531948095476,0.823187689815033,0.863477094375723,0.967230314039222
"59",700,748.958579335675,741.401860305519,0.962256794907128,0.981190607128956,0.989910364553325
"60",806,748.843796374387,765.160606972703,1.02401161401815,1.02867351073751,1.02178933801324
"61",713,748.72723220305,685.323023777101,1.02482331547345,1.01518504189457,0.915317346960403
"62",639,748.610690315515,595.107760034147,1.0260419971278,1.0465021079056,0.794949588261061
"63",859,748.492393287077,758.603133614607,1.15557785827705,0.979894499087092,1.01350814038754
"64",712,748.384954594283,757.649377102939,0.983908725599499,0.955117738935653,1.01237922068286
